_id,_source/name,_source/covered_area,_source/lease_duration_expected,_source/location/lat,_source/location/lon,_source/lock_in_period,_source/maintenance_charges,_source/no_of_balconies,_source/no_of_barooms,_source/plot_area,_source/rent_expected,_source/security_deposit,_source/type_of_accomodation,_source/total_floors,_source/floor,_source/servant_room,_source/servant_room_wi_toilet
18652885-f1f4-4464-a20e-566301c73420,RG-0000000289,1400,36,28.544822,77.259317,12,5000,2,3,1800,75000,225000,3,3,3,1,1
16ef1b28-67b3-eb98-ae66-5679580ac934,RG-0000000572,2100,24,28.56993,77.269141,12,15000,2,3,2700,100000,300000,3,3,1,1,1
14c59d9d-c29e-85be-7a14-563cb13bd9d3,RG-0000000024,4400,24,28.564197,77.264569,12,11000,4,6,6750,175000,350000,5,2,0,1,1
1b4d7262-d47f-963e-340b-564f129ef0fc,RG-0000000121,6900,24,28.460584,77.057885,12,20000,7,6,7500,200000,400000,5,13,0,1,1
1bc1aa7b-ea59-346a-1869-5698e4bb4aec,RG-0000000846,1500,36,28.56027,77.219244,12,0,2,3,1953,100000,200000,3,3,1,1,1
1f31ea3c-6784-aa7b-a233-56922dd470ed,RG-0000000790,5000,24,28.591322,77.354699,12,0,6,6,3600,200000,400000,5,2,0,1,1
1cc9f4a9-4b8c-19b9-2570-56828503c6e2,RG-0000000673,1100,12,28.562288,77.248702,12,0,0,2,1200,32000,32000,2,3,2,0,0
19eaebb7-0a3c-740c-2f70-5652c22bbf9d,RG-0000000141,2100,24,28.520091,77.209175,12,0,3,4,2700,85000,250000,4,3,2,0,0
25c3d734-06af-35aa-2318-568e04ea7cbd,RG-0000000749,1600,24,28.629714,77.216029,12,0,2,3,2000,210000,630000,3,3,1,0,0
22ad21ed-63ff-9a90-3d63-5677f736fe45,RG-0000000552,4000,12,28.570059,77.271813,12,0,2,7,2700,200000,600000,6,1,0,1,1
25dd9495-4966-71be-248f-567fb670d849,RG-0000000640,2300,36,28.550671,77.234859,12,0,5,3,4590,80000,160000,3,2,1,1,1
240698e8-4b96-5f2c-73cc-5672b64588f3,RG-0000000485,1400,24,28.579701,77.246096,12,0,3,3,1800,60000,120000,3,3,2,1,1
249ccab9-5069-ec83-3b7a-56767aba468f,RG-0000000534,1400,24,28.509027,77.16609,12,0,2,3,1600,38000,76000,3,2,1,1,1
30223856-77c1-214f-6b58-566acf9a2bec,RG-0000000390,4500,36,28.579626,77.163443,12,0,2,5,3870,350000,1000000,6,2,0,1,1
2817cb08-3bd2-ab40-5095-56827f10052b,RG-0000000664,3500,12,28.568168,77.269238,12,0,2,3,4500,125000,375000,3,2,2,1,1
2be813c1-df59-b79c-b51d-56643edaf776,RG-0000000310,1500,24,28.575736,77.230745,12,0,1,3,1953,83000,166000,3,3,1,0,0
2a20cb51-e6ae-4035-46a9-569b5c3b9ae0,RG-0000000868,1500,24,28.562344,77.363487,12,0,1,4,2140,25000,50000,4,2,1,1,1
34f6e52f-8c50-3fa7-813c-568e011bb307,RG-0000000745,3200,24,28.544588,77.258957,12,0,1,4,4500,300000,600000,4,3,3,1,1
44fa0493-24b9-c904-64e9-56922c3b0c7b,RG-0000000789,2200,24,28.556464,77.220147,12,0,3,4,3600,140000,280000,4,2,2,1,1
43214bf4-8b44-6661-3a5a-5652c09cc908,RG-0000000140,1550,24,28.549626,77.237519,12,4500,2,4,1980,75000,225000,3,3,2,1,1
3fc7f35d-2c63-0562-a081-5682812f83fc,RG-0000000667,3200,12,28.567767,77.271029,12,10000,2,4,4500,135000,270000,4,3,3,1,1
54334e4b-d8d5-32ca-25f5-56a9b5e6baff,RG-0000000949,1400,36,28.558792,77.20206,12,0,1,2,4500,55000,110000,2,3,2,0,0
4505ca01-bf61-3425-1d94-567bafbc5f8c,RG-0000000600,1200,24,28.52166,77.207319,12,0,1,3,1350,50000,100000,3,3,3,0,0
5841bdca-ef20-9d70-2b42-5664143416dc,RG-0000000305,1600,24,28.558216,77.36806,12,0,2,2,2153,19000,38000,3,2,2,0,0
5659dbf5-4e30-d293-f0e7-5663007a8c24,RG-0000000288,1500,36,28.54388,77.254781,11,0,3,3,1980,40000,80000,3,2,1,0,0
ba68c52c-0b85-9018-762e-5672b3e47e42,RG-0000000482,1400,0,28.554421,77.244755,0,0,0,3,1800,75000,150000,3,2,0,0,0
bd4f08f0-bb69-fe6a-0fd7-5657068a6f8b,RG-0000000175,1350,24,28.712681,77.140573,12,500,2,2,1500,25000,50000,3,3,2,0,0
bd80f261-6220-208b-2331-566967c35ccf,RG-0000000370,2100,36,28.543877,77.293639,24,6000,2,4,2700,100000,300000,3,3,3,1,1
bee34b06-65a1-5330-d59e-56790d98c809,RG-0000000561,3500,12,28.570134,77.270852,12,0,2,4,4500,80000,160000,4,2,2,0,0
c13631c2-5b21-f5a8-5116-5641dbf2f734,RG-0000000061,2800,24,28.555851,77.213624,12,0,1,3,4500,200000,600000,3,3,3,1,1
c4ad767c-f21d-2489-f7f2-568bca9ed047,RG-0000000725,3000,36,28.556395,77.21845,24,2000,6,5,7200,300000,600000,4,3,1,1,1
c594852d-7259-69fe-696c-56530b3177bd,RG-0000000148,3100,24,28.56233,77.167387,12,6000,3,5,5400,200000,600000,3,2,1,1,1
6af8ef69-26d4-2f4d-a1e4-56693b153859,RG-0000000360,3000,24,28.560097,77.162377,12,0,5,4,7200,100000,300000,4,3,3,1,1
