,_id,_source.covered_area,_source.floor,_source.lease_duration_expected,_source.location.lat,_source.location.lon,_source.lock_in_period,_source.maintenance_charges,_source.no_of_balconies,_source.no_of_bathrooms,_source.plot_area,_source.rent_expected,_source.security_deposit,_source.servant_room,_source.servant_room_with_toilet,_source.total_floors,_source.type_of_accomodation
0,18652885-f1f4-4464-a20e-566301c73420,1400,3,36,28.544822,77.259317,12,5000,2,3,1800,75000,225000.0,1,1,3.0,3
1,16ef1b28-67b3-eb98-ae66-5679580ac934,2100,1,24,28.56993,77.269141,12,15000,2,3,2700,100000,300000.0,1,1,3.0,3
2,1b4d7262-d47f-963e-340b-564f129ef0fc,6900,0,24,28.460584,77.057885,12,20000,7,6,7500,200000,400000.0,1,1,13.0,5
3,1bc1aa7b-ea59-346a-1869-5698e4bb4aec,1500,1,36,28.56027,77.219244,12,0,2,3,1953,100000,200000.0,1,1,3.0,3
4,1f31ea3c-6784-aa7b-a233-56922dd470ed,5000,0,24,28.591322,77.354699,12,0,6,6,3600,200000,400000.0,1,1,2.0,5
5,1cc9f4a9-4b8c-19b9-2570-56828503c6e2,1100,2,12,28.562288,77.248702,12,0,0,2,1200,32000,32000.0,0,0,3.0,2
6,25c3d734-06af-35aa-2318-568e04ea7cbd,1600,1,24,28.629714,77.216029,12,0,2,3,2000,210000,630000.0,0,0,3.0,3
7,22ad21ed-63ff-9a90-3d63-5677f736fe45,4000,0,12,28.570059,77.271813,12,0,2,7,2700,200000,600000.0,1,1,1.0,6
8,25dd9495-4966-71be-248f-567fb670d849,2300,1,36,28.550671,77.234859,12,0,5,3,4590,80000,160000.0,1,1,2.0,3
9,240698e8-4b96-5f2c-73cc-5672b64588f3,1400,2,24,28.579701,77.246096,12,0,3,3,1800,60000,120000.0,1,1,3.0,3
10,249ccab9-5069-ec83-3b7a-56767aba468f,1400,1,24,28.509027,77.16609,12,0,2,3,1600,38000,76000.0,1,1,2.0,3
11,2817cb08-3bd2-ab40-5095-56827f10052b,3500,2,12,28.568168,77.269238,12,0,2,3,4500,125000,375000.0,1,1,2.0,3
12,2a20cb51-e6ae-4035-46a9-569b5c3b9ae0,1500,1,24,28.562344,77.363487,12,0,1,4,2140,25000,50000.0,1,1,2.0,4
13,34f6e52f-8c50-3fa7-813c-568e011bb307,3200,3,24,28.544588,77.258957,12,0,1,4,4500,300000,600000.0,1,1,3.0,4
14,44fa0493-24b9-c904-64e9-56922c3b0c7b,2200,2,24,28.556464,77.220147,12,0,3,4,3600,140000,280000.0,1,1,2.0,4
15,43214bf4-8b44-6661-3a5a-5652c09cc908,1550,2,24,28.549626,77.237519,12,4500,2,4,1980,75000,225000.0,1,1,3.0,3
16,3fc7f35d-2c63-0562-a081-5682812f83fc,3200,3,12,28.567767,77.271029,12,10000,2,4,4500,135000,270000.0,1,1,3.0,4
17,54334e4b-d8d5-32ca-25f5-56a9b5e6baff,1400,2,36,28.558792,77.20206,12,0,1,2,4500,55000,110000.0,0,0,3.0,2
18,4505ca01-bf61-3425-1d94-567bafbc5f8c,1200,3,24,28.52166,77.207319,12,0,1,3,1350,50000,100000.0,0,0,3.0,3
19,ba68c52c-0b85-9018-762e-5672b3e47e42,1400,0,0,28.554421,77.244755,0,0,0,3,1800,75000,150000.0,0,0,2.0,3
20,bd4f08f0-bb69-fe6a-0fd7-5657068a6f8b,1350,2,24,28.712681,77.140573,12,500,2,2,1500,25000,50000.0,0,0,3.0,3
21,bee34b06-65a1-5330-d59e-56790d98c809,3500,2,12,28.570134,77.270852,12,0,2,4,4500,80000,160000.0,0,0,2.0,4
22,c4ad767c-f21d-2489-f7f2-568bca9ed047,3000,1,36,28.556395,77.21845,24,2000,6,5,7200,300000,600000.0,1,1,3.0,4
23,c594852d-7259-69fe-696c-56530b3177bd,3100,1,24,28.56233,77.167387,12,6000,3,5,5400,200000,600000.0,1,1,2.0,3
24,6f582e0a-d5f2-58a2-8e0b-56891e292b77,1400,2,24,28.536563,77.244542,12,0,1,2,2700,40000,80000.0,0,0,2.0,2
25,70a8c43c-fcba-6483-1078-568cc38258e8,1400,0,24,28.538818,77.257202,12,0,0,3,1800,45000,90000.0,0,0,2.0,3
26,719eec77-9094-1c99-63c3-566bb78a893a,1600,0,24,28.558043,77.200922,11,0,0,3,1800,70000,210000.0,0,0,2.0,3
27,71b73974-47c8-17b6-7769-5697929eac4d,1500,0,24,28.5718,77.339067,12,0,0,3,1800,40000,80000.0,1,1,1.0,3
28,770c8e9c-878e-eccd-f883-56a35c97457f,850,3,24,28.534288,77.218425,12,0,1,2,918,50000,100000.0,1,1,3.0,2
29,7a72e785-cc54-1e4b-d5ea-5685023dc748,2500,2,24,28.54796,77.237706,12,0,3,3,4500,80000,240000.0,1,1,2.0,3
30,97aa4d7a-3e95-cba5-de49-5660480730c5,3000,2,24,28.565365,77.162666,12,0,2,3,5400,200000,600000.0,0,0,3.0,4
31,9c5385ee-1f05-a79c-4634-5669610ca529,1300,2,24,28.533653,77.245023,12,0,3,2,4050,50000,100000.0,0,0,2.0,2
32,9d898835-ebf3-324a-0d21-56826dc9b8b8,1500,3,36,28.529844,77.245167,12,0,4,3,2250,70000,210000.0,0,0,3.0,2
33,5c6d45a3-3a28-2c40-490f-568b8feb0df6,800,1,12,28.533604,77.245792,12,0,1,1,2700,27000,54000.0,0,0,1.0,1
