,pid,name,covered_area,lease_duration_expected,lat,lon,lock_in_period,maintenance_charges,no_of_balconies,no_of_barooms,plot_area,rent_expected,security_deposit,type_of_accomodation,total_floors,floor,servant_room,servant_room_wi_toilet
15,2be813c1-df59-b79c-b51d-56643edaf776,RG-0000000310,1500,24,28.575736,77.230745,12,0,1,3,1953,83000,166000,3,3,1,0,0
19,43214bf4-8b44-6661-3a5a-5652c09cc908,RG-0000000140,1550,24,28.549626,77.237519,12,4500,2,4,1980,75000,225000,3,3,2,1,1
35,719eec77-9094-1c99-63c3-566bb78a893a,RG-0000000392,1600,24,28.558043,77.200922,11,0,0,3,1800,70000,210000,3,2,0,0,0
39,7a72e785-cc54-1e4b-d5ea-5685023dc748,RG-0000000693,2500,24,28.54796,77.237706,12,0,3,3,4500,80000,240000,3,2,2,1,1
44,9d898835-ebf3-324a-0d21-56826dc9b8b8,RG-0000000661,1500,36,28.529844,77.245167,12,0,4,3,2250,70000,210000,2,3,3,0,0
50,60ef02ed-1a9b-1036-67a3-564851287ac4,PROMILLA,2400,24,28.544971,77.242295,12,0,1,4,450,100000,200000,4,3,0,1,1
52,646e23d7-66b1-98de-c9ec-565d4a42cbbc,RG-0000000213,2200,24,28.562428,77.263435,12,2500,4,4,4500,110000,220000,3,3,2,1,1
57,935b8e41-a41f-f4b7-e010-568283891437,RG-0000000671,1400,36,28.544822,77.259317,12,5000,2,3,1800,75000,225000,3,3,1,1,1
66,dd59313c-de4d-5613-b470-56711ea5636f,RG-0000000469,2800,24,28.56235,77.204372,12,0,3,4,3600,80000,240000,4,2,1,0,0
68,df9b8874-4f83-18ec-0bba-567d0562caca,RG-0000000616,1500,24,28.572792,77.262188,12,0,3,2,7200,100000,200000,2,2,2,1,1
74,cf095707-883b-5b1a-1f1e-56741c883ce6,RG-0000000508,1600,35,28.584643,77.241494,11,5200,2,3,1800,100000,200000,3,3,1,1,1
80,f26a9448-7bb2-b9a3-08c2-5677e6310b75,RG-0000000548,2100,12,28.57056,77.270961,12,10000,2,4,2700,100000,200000,4,3,1,1,1
82,d9c1781a-f7cb-bad4-f919-565d699cd472,RG-0000000215,1700,24,28.544715,77.228448,12,0,2,3,2385,80000,240000,3,2,1,1,1
88,44f4695f-5854-4fc1-b3c8-56925106a3b4,RG-0000000796,1400,24,28.581412,77.164447,12,0,2,3,2250,90000,180000,2,2,1,1,1
92,345dd4f1-a73c-2bed-62b4-56a2207697af,RG-0000000914,2000,36,28.556716,77.233832,12,10000,2,4,2700,85000,170000,4,3,2,1,1
95,201800ed-87e2-9ac5-5c5f-56961ee30a90,RG-0000000820,1500,24,28.577379,77.232228,12,1000,2,3,1953,110000,220000,3,3,1,0,0
107,33f074fb-9411-7c47-1df8-5661a85e3b36,RG-0000000270,2300,24,28.562885,77.158106,12,0,2,3,3960,110000,220000,3,2,2,1,1
114,35ebd15b-5976-0859-cfcb-568f88cb7614,RG-0000000764,1500,36,28.56027,77.219244,12,0,2,3,1953,100000,200000,3,3,0,1,1
120,3cf9287e-ae16-f61c-b18d-566f98695312,RG-0000000446,2200,60,28.568876,77.269837,36,1000,3,3,4500,80000,240000,4,2,2,1,1
130,7b7b91b6-9b89-032e-6c9c-566440f5a612,RG-0000000313,2100,24,28.568127,77.228088,12,5000,1,3,2925,75000,225000,3,2,1,1,1
131,58e7996b-a9c7-ddfb-a4ef-566a88ad638f,RG-0000000384,2100,24,28.535468,77.251519,12,0,3,3,2844,95000,190000,4,3,2,1,1
