,_id,_source.covered_area,_source.floor,_source.lease_duration_expected,_source.location.lat,_source.location.lon,_source.lock_in_period,_source.maintenance_charges,_source.no_of_balconies,_source.no_of_bathrooms,_source.plot_area,_source.rent_expected,_source.security_deposit,_source.total_floors,_source.type_of_accomodation
0,18652885-f1f4-4464-a20e-566301c73420,1400.0,3,36.0,28.544821999999996,77.25931700000001,12.0,5000.0,2.0,3.0,1800.0,75000.0,225000.0,3.0,3
1,16ef1b28-67b3-eb98-ae66-5679580ac934,2100.0,1,24.0,28.56993,77.269141,12.0,15000.0,2.0,3.0,2700.0,100000.0,300000.0,3.0,3
2,1b4d7262-d47f-963e-340b-564f129ef0fc,6900.0,0,24.0,28.460584000000004,77.057885,12.0,20000.0,7.0,6.0,7500.0,200000.0,400000.0,13.0,5
3,1bc1aa7b-ea59-346a-1869-5698e4bb4aec,1500.0,1,36.0,28.560270000000003,77.21924399999999,12.0,0.0,2.0,3.0,1953.0,100000.0,200000.0,3.0,3
4,1f31ea3c-6784-aa7b-a233-56922dd470ed,5000.0,0,24.0,28.591321999999998,77.354699,12.0,0.0,6.0,6.0,3600.0,200000.0,400000.0,2.0,5
5,1cc9f4a9-4b8c-19b9-2570-56828503c6e2,1100.0,2,12.0,28.562288,77.24870200000001,12.0,0.0,0.0,2.0,1200.0,32000.0,32000.0,3.0,2
6,25c3d734-06af-35aa-2318-568e04ea7cbd,1600.0,1,24.0,28.629714,77.216029,12.0,0.0,2.0,3.0,2000.0,210000.0,630000.0,3.0,3
7,22ad21ed-63ff-9a90-3d63-5677f736fe45,4000.0,0,12.0,28.570059000000004,77.271813,12.0,0.0,2.0,7.0,2700.0,200000.0,600000.0,1.0,6
8,25dd9495-4966-71be-248f-567fb670d849,2300.0,1,36.0,28.550671,77.234859,12.0,0.0,5.0,3.0,4590.0,80000.0,160000.0,2.0,3
9,240698e8-4b96-5f2c-73cc-5672b64588f3,1400.0,2,24.0,28.579701,77.246096,12.0,0.0,3.0,3.0,1800.0,60000.0,120000.0,3.0,3
