,_id,_source.covered_area,_source.lease_duration_expected,_source.location.lat,_source.location.lon,_source.lock_in_period,_source.maintenance_charges,_source.no_of_balconies,_source.no_of_bathrooms,_source.plot_area,_source.rent_expected,_source.security_deposit,_source.type_of_accomodation,_source.total_floors,_source.floor,_source.servant_room,_source.servant_room_with_toilet
0,18652885-f1f4-4464-a20e-566301c73420,1400,36,28.544822,77.259317,12,5000,2,3,1800,75000,225000.0,3,3.0,3,1,1
40,935b8e41-a41f-f4b7-e010-568283891437,1400,36,28.544822,77.259317,12,5000,2,3,1800,75000,225000.0,3,3.0,1,1,1
55,cf095707-883b-5b1a-1f1e-56741c883ce6,1600,35,28.584643,77.241494,11,5200,2,3,1800,100000,200000.0,3,3.0,1,1,1
68,2fd8aa14-3602-9e9f-4067-569cec80b49b,1500,36,28.550372,77.242024,12,0,2,3,1872,60000,120000.0,3,3.0,2,1,1
198,9b2339d5-718b-5bb6-86fb-5682848d654a,1400,36,28.544822,77.259317,12,5000,2,3,1800,75000,225000.0,3,3.0,2,1,1
221,1f5e0c28-c275-918e-c244-56a220190d99,2000,36,28.556716,77.233832,12,10000,2,4,2700,80000,160000.0,4,3.0,3,1,1
292,c26442c5-fdfb-1c4b-d56d-56aafad0145c,1500,36,28.539608,77.234936,12,0,3,3,1800,70000,140000.0,3,3.0,1,1,1
333,e42d926c-4ea7-6ff3-0aa4-56badfd66bf4,1500,36,28.539608,77.234936,12,0,3,3,1800,70000,140000.0,3,3.0,3,1,1
426,9d5ef520-e2dd-996a-76b1-5697982a0736,1800,36,28.534897,77.239822,12,0,3,3,2250,90000,270000.0,3,3.0,2,1,1
430,c9a75798-a997-21f1-e4a0-567a3bd5641d,1600,36,28.584643,77.241494,11,5200,2,3,1800,100000,200000.0,3,3.0,2,1,1
785,4292487d-db91-7766-7170-567a3bb581bd,1600,36,28.584643,77.241494,11,5200,2,3,1800,100000,200000.0,3,3.0,3,1,1
840,58e51b47-6145-2ba4-d27e-56d00608d21c,1800,36,28.576289,77.237069,12,4000,3,3,2925,180000,360000.0,3,3.0,2,1,1
