,pid,name,covered_area,lease_duration_expected,lat,lon,lock_in_period,maintenance_charges,no_of_balconies,no_of_bathrooms,plot_area,rent_expected,security_deposit,type_of_accomodation,total_floors,floor,servant_room,servant_room_with_toilet
45,a086f58b-e5b5-5702-47c1-56765ac54594,RG-0000000529,1400,12,28.571814,77.218833,12,0,2,2,1800,40000,80000,2,2,2,0,0
108,318c3546-41d4-8488-b361-568286ac92ea,RG-0000000675,1100,12,28.562288,77.248702,12,0,0,2,1200,32000,32000,2,3,3,0,0
111,19cfc097-a14c-a841-8f75-567baffb11eb,RG-0000000599,800,12,28.560371,77.241345,12,0,1,2,900,22000,44000,2,2,2,0,0
115,375c21db-6d49-f883-82ee-567a8d0520b0,RG-0000000592,1100,12,28.561955,77.248096,12,0,0,3,1260,32000,32000,3,3,1,0,0
126,6a824396-f9ba-5867-81c7-5682865d5fd7,RG-0000000676,700,12,28.560493,77.241937,12,0,1,2,900,30000,60000,2,3,0,0,0
142,7f0bf1ff-9e5d-50d5-5049-56828679ff60,RG-0000000674,1100,12,28.562288,77.248702,12,0,0,2,1200,32000,32000,2,3,3,0,0
166,d2a3b430-d631-778c-0a13-567a837f6c36,RG-0000000590,700,12,28.561289,77.241024,12,0,1,2,900,30000,60000,2,2,2,0,0
267,aceac583-77de-1acc-7998-56584b4ce77b,RG-0000000185,700,11,28.563797,77.194262,6,1000,1,2,1800,28000,28000,2,3,3,0,0
319,18581827-607a-ce98-eaea-567d1c149af4,RG-0000000619,1100,12,28.562288,77.248702,12,0,0,2,1200,32000,32000,2,3,2,0,0
323,2d714715-a83c-1d01-f6c4-56768727d54a,RG-0000000535,1800,12,28.570917,77.222054,12,0,0,4,0,80000,160000,1,3,0,0,0
470,e2d60284-2c9d-c9b8-6f00-567fa9c9eb80,RG-0000000638,450,12,28.550286,77.242444,12,0,1,3,450,15000,15000,1,3,1,0,0
483,7ee67cdd-d1bf-1a7e-f3c5-568df53483dd,RG-0000000742,450,12,28.550286,77.242444,12,0,1,3,1800,30000,30000,1,3,3,0,0
490,8ceea6d7-2796-cc61-66b6-567bd58810ff,RG-0000000608,700,12,28.560738,77.240848,6,0,1,2,900,27000,54000,2,2,2,0,0
520,d3145b61-c061-166b-5f2a-567fc240dd0e,RG-0000000642,700,12,28.560493,77.241937,12,0,1,2,900,28000,56000,2,3,3,0,0
531,ef5e7d08-5203-76c6-216f-568df462c47c,RG-0000000741,450,12,28.550286,77.242444,12,0,1,3,1800,30000,30000,1,3,2,0,0
